stage_number,stage_title,learning_card_code,learning_card_id,learning_card_title,question_number,question_id,question_type,choice_position_source_order,choice_id,is_correct,text,feedback,represented_misconception,represented_glossary_term,distractor_source,distractor_rationale
1,Before Morning,1.1,what-is-llm,What Is an LLM?,1,v0279-what-is-llm-q1,mechanism,1,v0279-what-is-llm-q1-correct,true,"It scores possible next tokens from the current context, selects one, appends it, and repeats.",Good distinction. The model is using fixed learned weights and temporary context to make the next-token step.,,,,
1,Before Morning,1.1,what-is-llm,What Is an LLM?,1,v0279-what-is-llm-q1,mechanism,2,v0279-what-is-llm-q1-conscious-reader,false,"It reads with conscious understanding, then writes the whole answer at once.",Not quite. That gives the model too much mind. Fluent behavior can happen without awareness.,conscious mind vs fluent model behavior,llm,same-card,Tempting because fluent text can sound like a human explanation.
1,Before Morning,1.1,what-is-llm,What Is an LLM?,1,v0279-what-is-llm-q1,mechanism,3,v0279-what-is-llm-q1-hidden-search,false,It searches a hidden database and copies the best matching passage.,"This choice reveals a common mix-up. Search can be added around a model, but a plain LLM generates from context and learned weights.",search engine/database vs generative model,retrieval,author-created misconception,Tempting because broad model knowledge can feel like search.
1,Before Morning,1.1,what-is-llm,What Is an LLM?,1,v0279-what-is-llm-q1,mechanism,4,v0279-what-is-llm-q1-weight-change,false,It changes its weights each time the user sends a new prompt.,That would be true only if a separate training process updated weights. Ordinary inference usually leaves weights fixed.,training vs inference,training,same-card,Tempting because the model may seem to adapt within a conversation.
1,Before Morning,1.1,what-is-llm,What Is an LLM?,2,v0279-what-is-llm-q2,human-use-judgment,1,v0279-what-is-llm-q2-correct,true,It generated response tokens from context and learned patterns; fluency does not prove awareness.,Insight strengthened. This is the fluent-behavior-without-awareness boundary Prompt Life wants learners to hold.,,,,
1,Before Morning,1.1,what-is-llm,What Is an LLM?,2,v0279-what-is-llm-q2,human-use-judgment,2,v0279-what-is-llm-q2-inner-awareness,false,It must have inner awareness because the explanation sounds human.,Not quite. That gives the model too much mind. Fluent behavior can happen without awareness.,conscious mind vs fluent model behavior,llm,same-card,Tempting because human-like language invites human-like interpretation.
1,Before Morning,1.1,what-is-llm,What Is an LLM?,2,v0279-what-is-llm-q2,human-use-judgment,3,v0279-what-is-llm-q2-hidden-source,false,It must have found a hidden perfect source and copied the interpretation.,"Close, but this describes search or retrieval better than a plain LLM response. A fluent answer is not the same as cited evidence.",database lookup vs learned generation,retrieval,author-created misconception,Tempting because polished answers can feel copied from a source.
1,Before Morning,1.1,what-is-llm,What Is an LLM?,2,v0279-what-is-llm-q2,human-use-judgment,4,v0279-what-is-llm-q2-prompt-learning,false,The poem prompt permanently taught the base model a new skill.,That would require training. A normal prompt can shape temporary context without durably updating weights.,prompt/context change vs durable weight update,weight-update,same-card,Tempting because earlier context can shape later replies in a chat.
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,1,v0279-where-llms-fit-q1,application,1,v0279-where-llms-fit-q1-correct,true,Generative AI is a family; LLMs and denoising image models are different branches.,"Good distinction. Generative AI is a family, and different branches can use different mechanisms.",,,,
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,1,v0279-where-llms-fit-q1,application,2,v0279-where-llms-fit-q1-all-llms,false,All generative AI tools are LLMs because ChatGPT is generative AI.,"Not quite. An LLM is one kind of generative AI, not the whole category. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing.",LLM vs generative AI family,generative-ai,same-card,Tempting because ChatGPT is many learners’ first generative AI example.
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,1,v0279-where-llms-fit-q1,application,3,v0279-where-llms-fit-q1-text-only-ai,false,The image tool is not AI unless it generates language tokens.,"Close, but image models can be AI without using the LLM text-token loop. That swaps this mechanism with a nearby model step; keep the stage boundary clear.",LLM output vs broader generative outputs,diffusion,same-card,Tempting because this app starts with language models.
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,1,v0279-where-llms-fit-q1,application,4,v0279-where-llms-fit-q1-ai-ml-same,false,"AI and machine learning are the same label, so the branches do not matter.",This choice collapses useful categories. Machine learning is a major branch inside the broader AI field.,AI vs machine learning category boundary,machine-learning,same-card,Tempting because public language often blurs these words.
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,2,v02712-where-llms-fit-q2,boundary,1,v02712-where-llms-fit-q2-correct,true,AI is broad; ML learns from data; generative AI creates outputs; LLMs generate language or code.,Insight strengthened. The map matters because an LLM is one branch inside a wider AI landscape.,,,,
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,2,v02712-where-llms-fit-q2,boundary,2,v02712-where-llms-fit-q2-2-llm,false,All AI systems are LLMs if they use language.,"That collapses the broad AI family into one model type. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing.",All AI systems are LLMs if they use language.,LLM,explicit-confusable,"Plausible because LLM is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,2,v02712-where-llms-fit-q2,boundary,3,v02712-where-llms-fit-q2-3-machine-learning,false,Machine learning and AI are exact synonyms.,"That misses that machine learning is a major branch inside broader AI. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing.",Machine learning and AI are exact synonyms.,machine learning,explicit-confusable,"Plausible because machine learning is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,2,v02712-where-llms-fit-q2,boundary,4,v02712-where-llms-fit-q2-4-diffusion-model,false,Diffusion models and LLMs use the same generation loop.,"That treats different generative methods as if they shared one mechanism. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing.",Diffusion models and LLMs use the same generation loop.,diffusion model,explicit-confusable,"Plausible because diffusion model is nearby, but this choice preserves a misconception the card is designed to correct."
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,3,v0279-where-llms-fit-q3,boundary,1,v0279-where-llms-fit-q3-correct,true,The language-generating model inside the larger product.,"Good distinction. A product may wrap an LLM with tools, policies, and interface pieces.",,,,
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,3,v0279-where-llms-fit-q3,boundary,2,v0279-where-llms-fit-q3-whole-app,false,"The whole app, including every tool and button.","Not quite. The product can include an LLM, but the LLM is not every surrounding tool and screen.",model vs product/app wrapper,ai,author-created misconception,Tempting because users experience the whole product as one AI thing.
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,3,v0279-where-llms-fit-q3,boundary,3,v0279-where-llms-fit-q3-safety-policy,false,The safety policy that blocks some outputs.,"Close, but a safety policy shapes behavior around the model; it is not the language model itself.",policy/guardrail vs model,policy,nearby-stage,Tempting because safety behavior is visible in the product.
1,Before Morning,1.2,where-llms-fit,Where LLMs Fit,3,v0279-where-llms-fit-q3,boundary,4,v0279-where-llms-fit-q3-search-index,false,The database or search index the app may call.,This describes a retrieval or search component. The LLM generates language from context and learned weights.,retrieval/search component vs language model,retrieval,author-created misconception,Tempting because some chatbot products include search.
1,Before Morning,1.3,history,Rationalists vs Empiricists,1,v0279-history-q1,boundary,1,v0279-history-q1-correct,true,The rule-based system follows written rules; the LLM uses weights shaped by examples.,"Good distinction. LLMs mostly belong to the learned-patterns tradition, even when products around them use rules.",,,,
1,Before Morning,1.3,history,Rationalists vs Empiricists,1,v0279-history-q1,boundary,2,v0279-history-q1-loss-every-task,false,The rule-based system measures loss and updates weights after every task.,"Not quite. Loss and weight updates belong to training learned models, not to a pure if-then rule system.",symbolic rules vs training loop,loss,same-card,Tempting because loss is nearby in the deep-learning explanation.
1,Before Morning,1.3,history,Rationalists vs Empiricists,1,v0279-history-q1,boundary,3,v0279-history-q1-conscious-llm,false,"The LLM has conscious reasoning, while the rule-based system has none.",That gives the LLM too much mind. The key boundary here is learned weights versus explicit rules.,conscious reasoning vs learned behavior,llm,explicit-confusable,Tempting because LLM language can sound like reasoning from the inside.
1,Before Morning,1.3,history,Rationalists vs Empiricists,1,v0279-history-q1,boundary,4,v0279-history-q1-all-rules,false,There is no difference; both systems are just written rulebooks.,"Close, but LLM behavior is not mainly written as explicit if-then rules; it is shaped by training.",LLM as hand-coded rulebook,symbolic-ai,same-card,Tempting because both systems can produce predictable outputs.
