repair_id,priority,question_id,status,issue_flags,notes
R001,high,v0279-what-is-llm-q1,reviewed-no-change,possible_correct_answer_length_bias,Heuristic flag reviewed; existing item was retained because the misconception remained fair and model-centered.
R002,high,v0279-what-is-llm-q2,reviewed-no-change,possible_correct_answer_length_bias,Heuristic flag reviewed; existing item was retained because the misconception remained fair and model-centered.
R003,high,v0279-where-llms-fit-q1,question-stem-revised,premature_jargon:diffusion,"Stem revised to stand alone and name the mechanism: A campus tool summarizes text with an LLM, while another creates images by denoising noisy patterns. What does that show?"
R003,high,v0279-where-llms-fit-q1,wrong-feedback-revised,premature_jargon:diffusion,"v0279-where-llms-fit-q1-all-llms: Not quite. An LLM is one kind of generative AI, not the whole category. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing."
R003,high,v0279-where-llms-fit-q1,wrong-feedback-revised,premature_jargon:diffusion,"v0279-where-llms-fit-q1-text-only-ai: Close, but image models can be AI without using the LLM text-token loop. That swaps this mechanism with a nearby model step; keep the stage boundary clear."
R004,high,v02712-where-llms-fit-q2,wrong-feedback-revised,possible_correct_answer_length_bias,"v02712-where-llms-fit-q2-2-llm: That collapses the broad AI family into one model type. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing."
R004,high,v02712-where-llms-fit-q2,wrong-feedback-revised,possible_correct_answer_length_bias,"v02712-where-llms-fit-q2-3-machine-learning: That misses that machine learning is a major branch inside broader AI. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing."
R004,high,v02712-where-llms-fit-q2,wrong-feedback-revised,possible_correct_answer_length_bias,"v02712-where-llms-fit-q2-4-diffusion-model: That treats different generative methods as if they shared one mechanism. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing."
UNFLAGGED,review,v0279-history-q2,wrong-feedback-revised,,v0279-history-q2-final-answer: Not quite. Loss is used during training; it is not the model writing a response. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
R006,high,v02712-history-q3,question-stem-revised,possible_correct_answer_length_bias; premature_jargon:retrieval,"Stem revised to stand alone and name the mechanism: A university AI app combines an LLM, hand-written policy checks, and a handbook lookup tool. What should a model-literate user infer?"
R006,high,v02712-history-q3,wrong-feedback-revised,possible_correct_answer_length_bias; premature_jargon:retrieval,"v02712-history-q3-2-symbolic-ai: That confuses a product wrapper with the model inside it. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing."
R006,high,v02712-history-q3,wrong-feedback-revised,possible_correct_answer_length_bias; premature_jargon:retrieval,v02712-history-q3-3-rag: Retrieval can add context without becoming durable training. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
R006,high,v02712-history-q3,wrong-feedback-revised,possible_correct_answer_length_bias; premature_jargon:retrieval,"v02712-history-q3-4-alignment: Policy behavior is not the same as conscience or awareness. The behavior can be shaped without giving the model human awareness, intent, or moral agency."
R007,high,v0279-training-q2,wrong-feedback-revised,possible_correct_answer_length_bias,"v0279-training-q2-permanent-update: Not quite. That would require a training process, not ordinary inference. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior."
UNFLAGGED,review,v0279-training-q4,wrong-feedback-revised,,"v0279-training-q4-generation-loop: Close, but that sequence describes inference/generation, not training. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior."
R010,high,v0279-pretraining-q2,wrong-feedback-revised,possible_correct_answer_length_bias,v0279-pretraining-q2-private-files: Not quite. Training data exposure is not the same as access to every private file. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
R011,high,v0279-pretraining-q3,wrong-feedback-revised,possible_correct_answer_length_bias,"v0279-pretraining-q3-interface: This describes product UI changes, not the model’s learned parameters. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing."
R012,high,v02712-pretraining-q4,question-stem-revised,possible_correct_answer_length_bias; premature_jargon:retrieval,Stem revised to stand alone and name the mechanism: A base model gives fact-like text about a public topic before any live search or lookup tool is connected. Which pretraining explanation is strongest?
R012,high,v02712-pretraining-q4,wrong-feedback-revised,possible_correct_answer_length_bias; premature_jargon:retrieval,"v02712-pretraining-q4-2-retrieval: Search is a system/tool action, not something pretraining proves. Search, retrieval, and evidence use are separate system steps, and they still need checking."
R012,high,v02712-pretraining-q4,wrong-feedback-revised,possible_correct_answer_length_bias; premature_jargon:retrieval,"v02712-pretraining-q4-3-memory: Pretraining does not make a perfect searchable library of every source. Search, retrieval, and evidence use are separate system steps, and they still need checking."
R012,high,v02712-pretraining-q4,wrong-feedback-revised,possible_correct_answer_length_bias; premature_jargon:retrieval,"v02712-pretraining-q4-4-truth: Fluent source-like text is not a truth guarantee. Search, retrieval, and evidence use are separate system steps, and they still need checking."
R014,high,v0279-overfitting-generalization-q3,wrong-feedback-revised,possible_correct_answer_length_bias; possibly_obvious_distractor,"v0279-overfitting-generalization-q3-conscious-choice: That gives the model too much mind. The issue is brittle transfer, not intention. The behavior can be shaped without giving the model human awareness, intent, or moral agency."
R015,high,v02712-fine-tuning-q1,wrong-feedback-revised,possible_correct_answer_length_bias,"v02712-fine-tuning-q1-2-prompt: A prompt can steer the current run, but it is not durable training. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior."
R015,high,v02712-fine-tuning-q1,wrong-feedback-revised,possible_correct_answer_length_bias,v02712-fine-tuning-q1-3-rag: Retrieval adds temporary evidence; it does not by itself fine-tune weights. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior.
R015,high,v02712-fine-tuning-q1,wrong-feedback-revised,possible_correct_answer_length_bias,"v02712-fine-tuning-q1-4-sampling: Sampling changes a generation-time choice, not the model pattern carried forward. That swaps this mechanism with a nearby model step; keep the stage boundary clear."
R017,high,v02710-fine-tuning-q3,wrong-feedback-revised,possible_correct_answer_length_bias; possibly_obvious_distractor,"v02710-fine-tuning-q3-system-prompt-only: Close, but a system prompt steers the current run. Fine-tuning is durable training. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior."
R018,high,v02710-alignment-q1,wrong-feedback-revised,possible_correct_answer_length_bias; possibly_obvious_distractor,"v02710-alignment-q1-truth: Not quite. Alignment can shape behavior, but it does not guarantee factual truth. Probability, permission, fluency, or confidence is not the same as truth."
R020,high,v02710-alignment-q3,wrong-feedback-revised,possible_correct_answer_length_bias,"v02710-alignment-q3-conscious-test: Not quite. Evaluation checks behavior and outcomes, not inner conscience. The behavior can be shaped without giving the model human awareness, intent, or moral agency."
R020,high,v02710-alignment-q3,wrong-feedback-revised,possible_correct_answer_length_bias,"v02710-alignment-q3-loss-only: Close, but loss alone is not a full safety or usefulness evaluation. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior."
R021,high,v02712-alignment-q4,wrong-feedback-revised,possible_correct_answer_length_bias; possibly_obvious_distractor,"v02712-alignment-q4-2-alignment: A blocked output is not evidence of a new conscience or durable training. The behavior can be shaped without giving the model human awareness, intent, or moral agency."
R021,high,v02712-alignment-q4,wrong-feedback-revised,possible_correct_answer_length_bias; possibly_obvious_distractor,"v02712-alignment-q4-3-prompt: Prompting can steer a run, but it usually does not update weights. That would be a durable learning or storage claim; this checkpoint is separating it from temporary context or runtime behavior."
R021,high,v02712-alignment-q4,wrong-feedback-revised,possible_correct_answer_length_bias; possibly_obvious_distractor,"v02712-alignment-q4-4-truth: A safety decision is not the same as fact verification. Search, retrieval, and evidence use are separate system steps, and they still need checking."
R023,high,v02710-inference-q2,question-stem-revised,"possible_correct_answer_length_bias; premature_jargon:logits,sampling","Stem revised to stand alone and name the mechanism: In one inference step, which trace best matches the model path before the next token appears?"
R023,high,v02710-inference-q2,wrong-feedback-revised,"possible_correct_answer_length_bias; premature_jargon:logits,sampling","v02710-inference-q2-tokenizer-only: Tokenization prepares input, but inference still runs model layers to produce scores. The tempting idea is nearby, but it does not match the boundary this checkpoint is testing."
R024,high,v02710-inference-q3,wrong-feedback-revised,possible_correct_answer_length_bias,"v02710-inference-q3-training-now: Close, but adaptation within a context window is not the same as fine-tuning. Prompt and context can steer a current run without automatically becoming durable learning."
