learningCardNumber,stageTitle,learningCardId,learningCardTitle,currentVisualId,currentVisualTitle,currentVisualType,selectedCanonicalTemplate,currentVisualQualityRating,priorityBefore,priority,status,scoreTotal,image2Allowed,mustRemainCodedSvgHtml,mobileRiskNotes,notesForHumanTesters
1,Before Morning,what-is-llm,What Is an LLM?,before-morning-llm-cloud,Prompt to Prediction,generated-image,Atmospheric Scene,keep,P3,P3,keep,34,true,false,Keep the PNG textless; all mechanism language must stay in HTML.,Ask whether the opening visual reduces mystery without implying hidden powers.
2,Before Morning,where-llms-fit,Where LLMs Fit,ai-family-tree,AI Family Tree,coded-svg,Taxonomy Map,keep,P3,P3,keep,34,false,true,Do not add more branch definitions inside the tree.,"Ask whether the map prevents using AI, ML, generative AI, and LLM interchangeably."
3,Before Morning,history,Rationalists vs Empiricists,traditions,Rules and Learned Patterns,coded-svg,Comparison Board,keep,P3,P3,keep,33,false,true,"Keep loss explanation in callout, not as a paragraph inside the board.",Watch whether learners understand loss as a training signal.
4,Before Morning,training,Training,training-loop,Training Loop,coded-svg,Mechanism Flow,keep,P3,P3,keep,34,false,true,Five is the maximum; do not add side notes inside the loop.,Ask whether update weights is the clearly durable step.
5,Before Morning,pretraining,Pretraining,before-morning-pretraining-landscape,Broad Pretraining,generated-image,Atmospheric Scene,keep,P3,P3,keep,32,true,false,Avoid implying source documents are individually retrieved from weights.,Ask whether the visual suggests scale without memorization.
6,Before Morning,overfitting-generalization,Overfitting and Generalization,overfitting-generalization,Overfitting vs Generalization,coded-svg,Comparison Board,minor fix,P1,P2,temporary,28,false,true,Validation markers must remain readable at 320px.,Ask whether set-aside validation examples are clear.
7,Before Morning,fine-tuning,Fine-Tuning,before-morning-finetuning-path,Fine-Tuning Path,coded-svg,Comparison Board,fixed,P1,P3,fixed,32,false,true,Keep current-run details in callouts rather than adding more labels.,Ask whether durable/current-run boundary is clear after five seconds.
8,Before Morning,alignment,Alignment,before-morning-alignment-garden,Alignment Landscape,generated-image,Atmospheric Scene,keep,P3,P3,keep,31,true,false,Avoid morality imagery that makes the model seem conscious.,Ask whether the visual feels like behavior shaping rather than moral awakening.
9,Morning Commute,inference,Inference,inference-pass,Forward Pass,coded-svg,Mechanism Flow,keep,P3,P3,keep,33,false,true,Do not add more state names inside the diagram.,Ask whether fixed versus temporary is visible.
10,Morning Commute,prompt-response,Prompt vs Response,prompt-response,Prompt vs Response,coded-html,Mechanism Flow,keep,P2,P3,fixed,33,false,true,Keep panel padding compact and tokens wrapped.,Ask whether the fourth updated-context row is clear.
11,Morning Commute,tokens,Tokenization,tokenization,Text to Tokens,coded-html,Mechanism Flow,keep,P1,P2,fixed,30,false,true,Long token rows must wrap without horizontal overflow.,Ask whether floor plus punctuation is understandable.
12,Morning Commute,token-ids,Token IDs,token-ids,Token IDs,coded-svg,Mechanism Flow,keep,P3,P3,keep,32,false,true,Keep numeric labels large enough.,Ask whether ID versus meaning is clear.
13,Morning Commute,embeddings,Embeddings,embeddings,Embedding Lookup,coded-svg,Mechanism Flow,keep,P3,P3,keep,32,false,true,Avoid making the table look like searchable source memory.,Ask whether durable table versus temporary vector is clear.
14,Morning Commute,vectors,Vectors,vectors,Feature Vector,coded-svg,Comparison Board,minor fix,P1,P2,temporary,27,false,true,Distributed side may feel abstract; tester feedback should guide simplification.,Ask whether the distributed side helps or just looks decorative.
15,Morning Commute,tensors,Tensors,tensors,Tensor Block,coded-svg,Taxonomy Map,minor fix,P1,P2,temporary,27,false,true,Axis labels must stay outside crowded cells.,Ask whether the batch sheet clarifies or distracts.
16,Workday,attention,Attention,attention,Relevance Between Tokens,coded-svg,Comparison Board,keep,P1,P3,fixed,34,false,true,Arc endpoints must remain visually attached to chips.,Ask whether not-awareness is clear without clutter.
17,Workday,mlp,MLP,mlp,MLP Feature Workshop,coded-svg,Comparison Board,keep,P1,P2,fixed,30,false,true,Avoid adding feature names to the bars.,Ask whether attention versus MLP is separable.
18,Workday,layers,Layers,layers,Transformer Stack,coded-svg,Mechanism Flow,keep,P1,P2,fixed,30,false,true,Keep block text short; no layer-by-layer story.,Ask whether it feels mechanical rather than human-thought-like.
19,Workday,hidden-states,Hidden States,hidden-states,Hidden State Flow,coded-svg,Mechanism Flow,keep,P1,P2,fixed,30,false,true,Keep embedding and hidden-state labels visibly distinct.,"Ask whether hidden state sounds temporary, not memory."
20,Decision Room,logits,Logits,logits,Raw Scoreboard,coded-svg,Probability Bars,keep,P2,P3,fixed,34,false,true,Do not add decimals too small to read.,Ask whether raw-score versus probability is clear.
21,Decision Room,softmax,Softmax,softmax,Score to Probability,coded-svg,Probability Bars,keep,P2,P3,fixed,34,false,true,Keep percentages readable and avoid truth-meter styling.,Ask whether learners see that softmax does not choose.
22,Decision Room,sampling,Sampling,sampling,Weighted Token Choice,coded-svg,Probability Bars,keep,P1,P3,fixed,34,false,true,Selected token must not collide with bars.,Ask whether likely-not-true lands.
