stageNumber,stageTitle,lessonNumber,learningCardId,learningCardTitle,questionNumber,questionId,authoringCategory,question,correctChoiceId,correctAnswer,objective
1,Before Morning,,what-is-llm,What Is an LLM?,1,v0279-what-is-llm-q1,mechanism,"When an LLM answers a prompt by generating one token at a time, what is the model doing at each step?",v0279-what-is-llm-q1-correct,"It scores next tokens from context, appends one, and repeats.","Explain that an LLM uses learned weights plus current context to score and generate next tokens without implying awareness, search, or permanent learning."
1,Before Morning,,what-is-llm,What Is an LLM?,2,v0279-what-is-llm-q2,human-use-judgment,An LLM gives a fluent explanation of a poem. What should a model-literate learner conclude?,v0279-what-is-llm-q2-correct,It generated tokens from context and learned patterns; fluency is not awareness.,"Explain that an LLM uses learned weights plus current context to score and generate next tokens without implying awareness, search, or permanent learning."
1,Before Morning,,where-llms-fit,Where LLMs Fit,1,v0279-where-llms-fit-q1,application,"A campus tool summarizes text with an LLM, while another creates images by denoising noisy patterns. What does that show?",v0279-where-llms-fit-q1-correct,Generative AI is a family; LLMs and denoising image models are different branches.,"Use the AI family map to distinguish AI, ML, deep learning, generative AI, LLMs, diffusion models, multimodal systems, and AI products."
1,Before Morning,,where-llms-fit,Where LLMs Fit,2,v02712-where-llms-fit-q2,boundary,"A department uses the words AI, machine learning, generative AI, and LLM as if they mean the same thing. Which correction keeps the category map clear?",v02712-where-llms-fit-q2-correct,AI is broad; ML learns from data; LLMs generate language or code.,"Use the AI family map to distinguish AI, ML, deep learning, generative AI, LLMs, diffusion models, multimodal systems, and AI products."
1,Before Morning,,where-llms-fit,Where LLMs Fit,3,v0279-where-llms-fit-q3,boundary,"A chatbot product includes an LLM, a search tool, safety filters, and a user interface. What is the LLM?",v0279-where-llms-fit-q3-correct,The language-generating model inside the larger product.,"Use the AI family map to distinguish AI, ML, deep learning, generative AI, LLMs, diffusion models, multimodal systems, and AI products."
1,Before Morning,,history,Rationalists vs Empiricists,1,v0279-history-q1,boundary,"If a system solves a task only by following hand-written if-then rules, how is it different from an LLM?",v0279-history-q1-correct,The rule-based system follows written rules; the LLM uses weights shaped by examples.,"Compare rules-first AI and learned-pattern AI while recognizing that modern systems can combine rules, retrieval, policies, tools, and learned models."
1,Before Morning,,history,Rationalists vs Empiricists,2,v0279-history-q2,mechanism,"During deep-learning training, why does the system measure loss?",v0279-history-q2-correct,Loss measures prediction error so an optimizer can adjust weights.,"Compare rules-first AI and learned-pattern AI while recognizing that modern systems can combine rules, retrieval, policies, tools, and learned models."
1,Before Morning,,history,Rationalists vs Empiricists,3,v02712-history-q3,boundary,"A university AI app combines an LLM, hand-written policy checks, and a handbook lookup tool. What should a model-literate user infer?",v02712-history-q3-correct,The product is hybrid; the LLM remains learned-pattern AI.,"Compare rules-first AI and learned-pattern AI while recognizing that modern systems can combine rules, retrieval, policies, tools, and learned models."
1,Before Morning,,training,Training,1,v0279-training-q1,mechanism,"During training, the model predicts a target token and gets it wrong. What makes that moment learning rather than ordinary inference?",v0279-training-q1-correct,The training process uses the loss signal to update weights.,"Trace training as example, prediction, loss, optimizer, weight update, repeat; separate durable training from inference, retrieval, sampling, and prompt changes."
1,Before Morning,,training,Training,2,v0279-training-q2,boundary,A student asks a chatbot one question during ordinary use. Which statement is usually true?,v0279-training-q2-correct,It uses fixed weights and temporary context; the chat does not rewrite weights.,"Trace training as example, prediction, loss, optimizer, weight update, repeat; separate durable training from inference, retrieval, sampling, and prompt changes."
1,Before Morning,,training,Training,3,v0279-training-q3,causal-consequence,"Why can training change how the model behaves tomorrow, while inference usually cannot?",v0279-training-q3-correct,Training changes reusable weights; inference uses temporary computation.,"Trace training as example, prediction, loss, optimizer, weight update, repeat; separate durable training from inference, retrieval, sampling, and prompt changes."
1,Before Morning,,training,Training,4,v0279-training-q4,model-trace,"In a training loop, which sequence is the durable learning path?",v0279-training-q4-correct,Example -> prediction -> loss -> weight update.,"Trace training as example, prediction, loss, optimizer, weight update, repeat; separate durable training from inference, retrieval, sampling, and prompt changes."
1,Before Morning,,pretraining,Pretraining,1,v0279-pretraining-q1,mechanism,"During pretraining, what signal teaches the model broad language patterns across many examples?",v0279-pretraining-q1-correct,Next-token loss changes weights over many training steps.,"Explain pretraining as broad durable pattern learning from many next-token targets, not perfect recall, live browsing, or a searchable archive."
1,Before Morning,,pretraining,Pretraining,2,v0279-pretraining-q2,boundary,Why can pretraining create broad capability without making the model a perfect library of its sources?,v0279-pretraining-q2-correct,It shapes patterns in weights; it is not a searchable copy of every source.,"Explain pretraining as broad durable pattern learning from many next-token targets, not perfect recall, live browsing, or a searchable archive."
1,Before Morning,,pretraining,Pretraining,3,v0279-pretraining-q3,causal-consequence,"If pretraining examples include many styles and task shapes, what can change inside the model?",v0279-pretraining-q3-correct,Weights shift so future prompts can activate useful language or code patterns.,"Explain pretraining as broad durable pattern learning from many next-token targets, not perfect recall, live browsing, or a searchable archive."
1,Before Morning,,pretraining,Pretraining,4,v02712-pretraining-q4,boundary,A base model gives fact-like text about a public topic before any live search or lookup tool is connected. Which pretraining explanation is strongest?,v02712-pretraining-q4-correct,Past training shaped weights; source-like text is not proof of live search.,"Explain pretraining as broad durable pattern learning from many next-token targets, not perfect recall, live browsing, or a searchable archive."
1,Before Morning,,overfitting-generalization,Overfitting and Generalization,1,v0279-overfitting-generalization-q1,application,A model gets every training example right but fails on new validation examples. What problem is showing up?,v0279-overfitting-generalization-q1-correct,Overfitting: the model fit training examples too narrowly to generalize well.,Diagnose overfitting and explain that set-aside validation examples are kept out of training to test transfer beyond examples used to fit weights.
1,Before Morning,,overfitting-generalization,Overfitting and Generalization,2,v0279-overfitting-generalization-q2,human-use-judgment,Why do model builders test on set-aside validation examples instead of only training examples?,v0279-overfitting-generalization-q2-correct,They are kept out of training so they can test whether learned patterns transfer.,Diagnose overfitting and explain that set-aside validation examples are kept out of training to test transfer beyond examples used to fit weights.
1,Before Morning,,overfitting-generalization,Overfitting and Generalization,3,v0279-overfitting-generalization-q3,causal-consequence,A model trained heavily on one narrow answer template works on that template but struggles with varied new prompts. What should a model-literate learner suspect?,v0279-overfitting-generalization-q3-correct,It fit narrow examples too closely instead of generalizing.,Diagnose overfitting and explain that set-aside validation examples are kept out of training to test transfer beyond examples used to fit weights.
1,Before Morning,,fine-tuning,Fine-Tuning,1,v02712-fine-tuning-q1,application,A team wants a support assistant to follow corporate norms across future conversations. Which intervention would create a durable model-side change?,v02712-fine-tuning-q1-correct,Run additional training or adapter training on relevant examples so future responses carry the pattern.,"Distinguish fine-tuning or adapter training as durable post-pretraining adaptation from prompt, RAG, and sampling-time steering."
1,Before Morning,,fine-tuning,Fine-Tuning,2,v02710-fine-tuning-q2,application,"A base model is adapted on thousands of institution-specific examples, then later answers new users in that style. What changed most directly?",v02710-fine-tuning-q2-correct,Adapted weights or adapters can carry the pattern into later runs.,"Distinguish fine-tuning or adapter training as durable post-pretraining adaptation from prompt, RAG, and sampling-time steering."
1,Before Morning,,fine-tuning,Fine-Tuning,3,v02710-fine-tuning-q3,causal-consequence,"If fine-tuning is used for alignment, what does that mean about future model behavior?",v02710-fine-tuning-q3-correct,Training can make instruction-following patterns more likely later.,"Distinguish fine-tuning or adapter training as durable post-pretraining adaptation from prompt, RAG, and sampling-time steering."
1,Before Morning,,alignment,Alignment,1,v02710-alignment-q1,boundary,An alignment-shaped assistant refuses a harmful request and follows a safer instruction instead. What should a model-literate learner conclude?,v02710-alignment-q1-correct,"Behavior was shaped toward safety boundaries, not moral understanding.","Reason about alignment as behavior shaping through training, prompts, policies, filters, evaluation, and deployment controls without treating it as conscience or truth guarantee."
1,Before Morning,,alignment,Alignment,2,v02710-alignment-q2,model-trace,"A product uses instruction fine-tuning, a system prompt, and a policy filter around one LLM. Which alignment map is most useful?",v02710-alignment-q2-correct,Some alignment changes are durable training; others steer or filter the current run.,"Reason about alignment as behavior shaping through training, prompts, policies, filters, evaluation, and deployment controls without treating it as conscience or truth guarantee."
1,Before Morning,,alignment,Alignment,3,v02710-alignment-q3,human-use-judgment,Why do teams evaluate aligned models with tests and human feedback after training or deployment?,v02710-alignment-q3-correct,Shaped behavior can still fail or trade off in new situations.,"Reason about alignment as behavior shaping through training, prompts, policies, filters, evaluation, and deployment controls without treating it as conscience or truth guarantee."
1,Before Morning,,alignment,Alignment,4,v02712-alignment-q4,boundary,A guardrail blocks one unsafe response before the user sees it. What changed most directly?,v02712-alignment-q4-correct,"A policy or filter layer changed visible output, not necessarily model weights.","Reason about alignment as behavior shaping through training, prompts, policies, filters, evaluation, and deployment controls without treating it as conscience or truth guarantee."
2,Morning Commute,,inference,Inference,1,v02710-inference-q1,mechanism,"During ordinary inference, the current context enters the model. What changes temporarily, and what usually stays fixed?",v02710-inference-q1-correct,Temporary internal states change; learned weights usually stay fixed.,"Explain inference as a forward pass using fixed weights and temporary context-shaped states, not durable learning."
2,Morning Commute,,inference,Inference,2,v02710-inference-q2,model-trace,"In one inference step, which trace best matches the model path before the next token appears?",v02710-inference-q2-correct,"Context enters a forward pass, temporary states form, raw scores appear, and a token can be chosen.","Explain inference as a forward pass using fixed weights and temporary context-shaped states, not durable learning."
2,Morning Commute,,inference,Inference,3,v02710-inference-q3,application,A chatbot remembers an earlier line in the same conversation and uses it in the next answer. What is the best model-level explanation?,v02710-inference-q3-correct,"The earlier line is still in context, so inference can use it.","Explain inference as a forward pass using fixed weights and temporary context-shaped states, not durable learning."
2,Morning Commute,,inference,Inference,4,v02710-inference-q4,causal-consequence,"If ordinary inference normally does not update weights, what follows for future conversations?",v02710-inference-q4-correct,A useful answer now does not automatically teach the base model for tomorrow.,"Explain inference as a forward pass using fixed weights and temporary context-shaped states, not durable learning."
2,Morning Commute,,prompt-response,Prompt vs Response,1,v02710-prompt-response-q1,boundary,"A user gives a complete prompt, then the model begins writing response tokens. Which boundary matters most?",v02710-prompt-response-q1-correct,Prompt tokens are given; response tokens are generated and appended to context.,Separate given prompt/context tokens from generated response tokens and explain that generated tokens are appended into the next inference context.
2,Morning Commute,,prompt-response,Prompt vs Response,2,v02710-prompt-response-q2,model-trace,"After the model chooses one next response token, what does the next inference step see?",v02710-prompt-response-q2-correct,"The original prompt plus the response so far, including the new token.",Separate given prompt/context tokens from generated response tokens and explain that generated tokens are appended into the next inference context.
2,Morning Commute,,prompt-response,Prompt vs Response,3,v02710-prompt-response-q3,misconception-check,A generated response improves after the user adds a clarifying sentence. What changed most directly?,v02710-prompt-response-q3-correct,Better current context helped the next response tokens come from better input.,Separate given prompt/context tokens from generated response tokens and explain that generated tokens are appended into the next inference context.
2,Morning Commute,,tokens,Tokenization,1,v02710-tokens-q1,application,"A tokenizer splits “startled.” into pieces like “start”, “led”, and “.” What should that tell a learner?",v02710-tokens-q1-correct,"Tokens can be uneven chunks: words, word pieces, or punctuation.","Explain tokenization as turning text into model-readable chunks that may be words, word pieces, punctuation, or other units before ID lookup."
2,Morning Commute,,tokens,Tokenization,2,v02710-tokens-q2,model-trace,"Before transformer layers process text, which tokens-to-IDs-to-embeddings path comes first?",v02710-tokens-q2-correct,"Text is split into tokens, tokens map to token IDs, and IDs look up embeddings.","Explain tokenization as turning text into model-readable chunks that may be words, word pieces, punctuation, or other units before ID lookup."
2,Morning Commute,,tokens,Tokenization,3,v02710-tokens-q3,boundary,Both the user prompt and the generated response eventually appear as text. How does tokenization treat them?,v02710-tokens-q3-correct,Prompt text and generated response text can both be represented as tokens.,"Explain tokenization as turning text into model-readable chunks that may be words, word pieces, punctuation, or other units before ID lookup."
2,Morning Commute,,token-ids,Token IDs,1,v02710-token-ids-q1,mechanism,"After tokenization, the token “dog” maps to an integer ID. What does the model use that ID for next?",v02710-token-ids-q1-correct,To look up a learned starting vector in the embedding table.,"Explain token IDs as lookup keys from token chunks to embedding rows, not meanings, memories, or source retrieval by themselves."
2,Morning Commute,,token-ids,Token IDs,2,v02710-token-ids-q2,boundary,A learner says “982 means cat because the ID is the meaning.” What correction is most model-literate?,v02710-token-ids-q2-correct,"982 is a lookup number; meaning comes from embeddings, layers, and context.","Explain token IDs as lookup keys from token chunks to embedding rows, not meanings, memories, or source retrieval by themselves."
