stageNumber,stageTitle,learningCardNumber,learningCardId,learningCardTitle,primaryLearningObjective,exerciseExists,exerciseId,exerciseTitle,exerciseType,exercisePrompt,learnerAction,itemsChoicesNodesSteps,correctOrTargetBehavior,feedbackBehavior,progressStored,randomizationUsed,fixedOrderRequired,supportsLearningObjective,duplicatesCheckpoint,duplicatesVisualAid,mobileUsabilityNotes,recommendation,priorityBefore,priorityAfter,fixApplied,rubricScores,rubricAverage,exerciseIssues,manualReviewNotes,screenshot320,screenshot390,screenshotDesktop
1,Before Morning,1,what-is-llm,What Is an LLM?,A large language model is a learned system that turns current context into probabilities for the next token. Practice boundary: An LLM is a conscious reader or a database.,true,prompt-trace,Tap through one prompt,tap-to-cycle,"Context enters, a next-token cloud appears, floor is chosen, then the appended response becomes the next context.","Tap through context, next-token cloud, chosen token, and updated context.",context enters | next-token cloud | chosen token | updated context,Finish the prompt-to-next-context sequence.,Step-specific insight text appears after each tap.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,The prompt life-cycle sequence matters.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,Watch during human testing; it may reinforce the visual closely.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P2,P2,,"{""objectiveFit"":4,""fiveSecondClarity"":4,""mechanicSimplicity"":5,""misconceptionValue"":4,""feedbackQuality"":4,""mobileUsability"":4,""redundancy"":5,""cognitiveLoad"":4,""replayReviewValue"":3}",4.1,,"Watch in human testing for abstraction level, redundancy, or replay value.",screenshots/v0-28-10/1-what-is-llm-320.png,screenshots/v0-28-10/1-what-is-llm-390.png,screenshots/v0-28-10/1-what-is-llm-1024.png
1,Before Morning,2,where-llms-fit,Where LLMs Fit,"A large language model is one kind of generative AI system, built with deep-learning methods inside the broader field of artificial intelligence. Practice boundary: All AI is an LLM, or all generative AI works like ChatGPT.",true,ai-topology,Tap a branch,tap-to-cycle,Reveal what each branch means in the AI family tree.,Tap branches in the AI family tree.,AI | machine learning | deep learning | generative AI | LLMs | diffusion | multimodal,Reveal at least one branch explanation.,Branch-specific one-sentence explanation.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Branches preserve the family-tree structure.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":5,""misconceptionValue"":4,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.8,,,screenshots/v0-28-10/2-where-llms-fit-320.png,screenshots/v0-28-10/2-where-llms-fit-390.png,
1,Before Morning,3,history,Rationalists vs Empiricists,"Symbolic AI tries to reason with explicit rules and symbols; deep learning learns useful patterns from data by adjusting weights. Practice boundary: LLMs are hand-coded rulebooks, or symbolic AI is obsolete.",true,traditions-sort,Sort rules and patterns,sort / group,"Some ingredients are explicit rules, some are learned patterns, and many real systems combine both.","Tap each item to place it in rules, learned patterns, or hybrid systems.",explicit rule | learned weights | retrieval wrapper | policy filter,All items land in the best group.,Correctness highlighting plus summary insight.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Fixed items keep the rules-versus-patterns contrast compact.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P1,P3,Changed shared sort feedback from “cards” to “items” so sort/group interactions do not sound like Journey-card navigation.,"{""objectiveFit"":5,""fiveSecondClarity"":4,""mechanicSimplicity"":5,""misconceptionValue"":5,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":4,""replayReviewValue"":4}",4.7,,,screenshots/v0-28-10/3-history-320.png,screenshots/v0-28-10/3-history-390.png,
1,Before Morning,4,training,Training,"Training is the process that adjusts model weights by comparing predictions with target answers, such as actual next tokens. Practice boundary: When I chat with the model, it automatically trains itself.",true,training-steps,Tap through the training loop,tap-to-cycle,"Predict, compare, loss, update weights. The update is the durable learning step.",Tap through the training loop.,predict | compare | loss | update weights,Reach the durable update step.,Durable-update explanation.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Training order is the mechanism being taught.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":5,""misconceptionValue"":4,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.8,,,screenshots/v0-28-10/4-training-320.png,screenshots/v0-28-10/4-training-390.png,
1,Before Morning,5,pretraining,Pretraining,Pretraining is the broad first training phase where a model learns general patterns by repeatedly predicting tokens across large datasets. Practice boundary: Pretraining means the model can perfectly recall everything it saw.,true,pretraining-toggle,Pattern learning or recall?,comparison toggle,"Pretraining is broad durable pattern learning, not a perfect memory of every source.",Toggle between broad pattern learning and perfect recall.,broad pattern learning | perfect recall,Choose broad pattern learning.,Boundary feedback against the perfect-memory myth.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Two stable states make the misconception boundary explicit.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":5,""misconceptionValue"":5,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.9,,,screenshots/v0-28-10/5-pretraining-320.png,screenshots/v0-28-10/5-pretraining-390.png,
1,Before Morning,6,overfitting-generalization,Overfitting and Generalization,"Overfitting happens when a model learns training examples too narrowly and performs poorly on new examples; generalization means learned patterns work beyond the examples seen during training. Practice boundary: If a model performs well on training data, it has learned well.",true,overfitting-curve,Choose the better curve,single choice,"The smoother curve may miss a few old dots, but it carries the pattern to validation examples not used in training.",Choose the curve that generalizes better.,training-perfect curve | smoother validation-aware curve,Select the smoother curve.,Validation-example feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,The side-by-side comparison is spatial.,Yes. It practices the lesson mechanism or misconception boundary.,Partial risk: watch during human testing so it does not feel like a second checkpoint.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":5,""misconceptionValue"":5,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":4,""cognitiveLoad"":5,""replayReviewValue"":4}",4.8,,,screenshots/v0-28-10/6-overfitting-generalization-320.png,screenshots/v0-28-10/6-overfitting-generalization-390.png,
1,Before Morning,7,fine-tuning,Fine-Tuning,"Fine-tuning is additional training that adapts a pretrained model toward a task, domain, style, or preference. Practice boundary: Prompting once is the same as fine-tuning.",true,fine-tuning-sort,Sort the steering moves,sort / group,Fine-tuning is durable training. Prompting and RAG steer the current run. Sampling chooses the next token.,"Sort durable training, temporary context, and decoding moves.",fine-tuning | prompting | RAG | sampling,Each steering move is assigned to the right change type.,Bucket-specific correction.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Stable ordering keeps nearby terms comparable.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P1,P3,Changed shared sort feedback from “cards” to “items” so sort/group interactions do not sound like Journey-card navigation.,"{""objectiveFit"":5,""fiveSecondClarity"":4,""mechanicSimplicity"":5,""misconceptionValue"":5,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":4,""replayReviewValue"":4}",4.7,,,screenshots/v0-28-10/7-fine-tuning-320.png,screenshots/v0-28-10/7-fine-tuning-390.png,
1,Before Morning,8,alignment,Alignment,"Alignment is the effort to shape AI behavior toward human instructions, preferences, safety boundaries, and values. Practice boundary: Aligned means morally good or fully trustworthy.",true,alignment-groups,Group the alignment methods,sort / group,"Alignment can use durable shaping, runtime steering, and evaluation. It shapes behavior, not moral agency.","Group alignment methods by durable shaping, runtime steering, and evaluation.",instruction tuning | system prompt | policy filter | safety test,Each method is assigned to its mechanism group.,Method-group summary.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Stable group labels preserve the boundary.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P1,P3,Changed shared sort feedback from “cards” to “items” so sort/group interactions do not sound like Journey-card navigation.,"{""objectiveFit"":5,""fiveSecondClarity"":4,""mechanicSimplicity"":5,""misconceptionValue"":5,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":4,""replayReviewValue"":4}",4.7,,,screenshots/v0-28-10/8-alignment-320.png,screenshots/v0-28-10/8-alignment-390.png,
2,Morning Commute,9,inference,Inference,Inference is normal model use: fixed learned weights process the current context to produce scores for the next response token. Practice boundary: Normal chat automatically trains the model.,true,inference,Walk the forward pass,tap-to-cycle,"The current context moves through the model. Temporary activations change, but durable weights do not.",Tap through the forward pass from current context to next token.,current context | temporary activations | fixed weights | next-token scores,Complete the forward pass without durable weight change.,Temporary-versus-durable feedback.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Forward-pass order is the model mechanism.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":5,""misconceptionValue"":4,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.8,,,screenshots/v0-28-10/9-inference-320.png,screenshots/v0-28-10/9-inference-390.png,
2,Morning Commute,10,prompt-response,Prompt vs Response,Prompt tokens are given to the model; response tokens are generated by the model one at a time and appended to the context. Practice boundary: The model generates the whole response at once.,true,prompt-response-labels,Label the context pieces,token labeling,"Tap each row to see prompt, response so far, next token, and current context stay distinct.","Tap rows that separate prompt, response so far, next token, and updated context.",given prompt | response so far | next token | updated context,Inspect all four context pieces.,Row-specific explanation.,"No. Journey progress is stored after checkpoint/reflection flow, not by the micro-interaction.",No. Exercise controls use fixed order; checkpoint answers remain randomized elsewhere.,Rows mirror the generation trace.,Yes. It practices the lesson mechanism or misconception boundary.,No. It gives practice or reveal before checkpoint reasoning.,No serious duplicate; it adds a learner action.,320px no horizontal overflow; 390px no horizontal overflow; bottom nav does not cover controls after scroll,keep,P3,P3,,"{""objectiveFit"":5,""fiveSecondClarity"":5,""mechanicSimplicity"":5,""misconceptionValue"":4,""feedbackQuality"":5,""mobileUsability"":5,""redundancy"":5,""cognitiveLoad"":5,""replayReviewValue"":4}",4.8,,,screenshots/v0-28-10/10-prompt-response-320.png,screenshots/v0-28-10/10-prompt-response-390.png,
