repair_id,priority,action,scope,stage_number,stage_title,learning_card_code,card_title,question_id,issue_type,current_text,recommended_change,implementation_instruction
G001,critical,enforce,global,,,,,,No debug/development/fallback notes in learner UI.,,"Confirm no learner-facing UI contains legacyCheckpoints, checkpointBank=legacy, active-dev, development testing, debug, or fallback instructions. Keep reminders only in docs/DEV_NOTES.md, reports, or source comments.",Run audit:learner-copy and add failing patterns if missing. Remove any visible debug bank indicator from Home/Journey/Play/Glossary/Badge.
G002,critical,enforce,global,,,,,,Question bank needs implementation-ready review artifacts.,,"Generate JSON, CSV, and PDF review packets with full question bank, repairs applied, question type distribution, and open review concerns.","Regenerate docs/journey/checkpoints/checkpoint-question-bank-v0-27-13.json, .md, .csv and docs/journey/prompt-life-v0-27-13-checkpoint-bank-revision-report.pdf."
G003,high,audit,global,,,,,,Question type balance should support badge validity.,,"Maintain a mixture of mechanism, boundary, causal-consequence, applied scenario, human-use-judgment, misconception-check, and synthesis. Avoid too many same-type questions in a single card.",Add a question-type distribution table by stage/card to the v0.27.13 report.
G004,high,audit,global,,,,,,Correct answer should not be obvious by length/style.,,Run an answer-length bias audit. Review high-ratio items and balance answer choice length and specificity.,Add audit warnings for correct answers >1.35× mean distractor length and >25 characters longer than average distractor.
G005,high,audit,global,,,,,,Jargon timing and definitions.,,"Review early use of RAG, retrieval, softmax, logits, diffusion, grounding, hallucination, and context window. Either explain or replace future-stage terms before they are taught.",Add or update review notes per flagged item; do not remove useful glossary-near distractors if feedback makes the boundary clear.
G006,medium,audit,global,,,,,,Distractors should be tempting but fair.,,"Review distractors using absolute words such as must, every, always, guaranteed, definitely. Keep when they represent a real myth; otherwise make them less cartoonish.","For obviously silly distractors, replace with a nearby glossary misconception and feedback that teaches the boundary."
G007,medium,audit,global,,,,,,Set-aside validation examples must stay clear.,,Keep learner-facing wording: “set-aside validation examples are kept out of training and saved for testing.” Avoid unexplained held-out/holdout wording.,Search for held-out/holdout and replace or define; validate with audit:learner-copy or audit:checkpoints.
G008,high,audit,global,,,,,,Scroll behavior is part of assessment usability.,,Preserve reliable scroll-to-checkpoint and scroll-to-top behavior when advancing questions/cards; include mobile Safari QA.,"Do not regress v0.27.11 scroll fixes. Test 2-, 3-, 4-, and 5-question cards at 320px and 390px."
R018,high,revise,question,1,Before Morning,1.8,Alignment,V02710-ALIGNMENT-Q1,possible_correct_answer_length_bias|possibly_obvious_distractor,An alignment-shaped assistant refuses a harmful request and follows a safer instruction instead. What should a model-literate learner conclude?,"Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Review “definitely/guaranteed/must” distractors; keep only if they represent a real public myth, otherwise make them more plausible.","Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R019,high,revise,question,1,Before Morning,1.8,Alignment,V02710-ALIGNMENT-Q2,possible_correct_answer_length_bias,"A product uses instruction fine-tuning, a system prompt, and a policy filter around one LLM. Which alignment map is most useful?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R020,high,revise,question,1,Before Morning,1.8,Alignment,V02710-ALIGNMENT-Q3,possible_correct_answer_length_bias,Why do teams evaluate aligned models with tests and human feedback after training or deployment?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R021,high,revise,question,1,Before Morning,1.8,Alignment,V02712-ALIGNMENT-Q4,possible_correct_answer_length_bias|possibly_obvious_distractor,A guardrail blocks one unsafe response before the user sees it. What changed most directly?,"Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Review “definitely/guaranteed/must” distractors; keep only if they represent a real public myth, otherwise make them more plausible.","Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R016,high,revise,question,1,Before Morning,1.7,Fine-Tuning,V02710-FINE-TUNING-Q2,possible_correct_answer_length_bias,"A base model is adapted on thousands of institution-specific examples, then later answers new users in that style. What changed most directly?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R017,high,revise,question,1,Before Morning,1.7,Fine-Tuning,V02710-FINE-TUNING-Q3,possible_correct_answer_length_bias|possibly_obvious_distractor,"If fine-tuning is used for alignment, what does that mean about future model behavior?","Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Review “definitely/guaranteed/must” distractors; keep only if they represent a real public myth, otherwise make them more plausible.","Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R015,high,revise,question,1,Before Morning,1.7,Fine-Tuning,V02712-FINE-TUNING-Q1,possible_correct_answer_length_bias,A team wants a support assistant to follow corporate norms across future conversations. Which move is closest to fine-tuning?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R013,high,revise,question,1,Before Morning,1.6,Overfitting and Generalization,V0279-OVERFITTING-GENERALIZATION-Q1,possible_correct_answer_length_bias,A model gets every training example right but fails on new validation examples. What problem is showing up?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R014,high,revise,question,1,Before Morning,1.6,Overfitting and Generalization,V0279-OVERFITTING-GENERALIZATION-Q3,possible_correct_answer_length_bias|possibly_obvious_distractor,A model trained heavily on one narrow answer template works on that template but struggles with varied new prompts. What should a model-literate learner suspect?,"Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Review “definitely/guaranteed/must” distractors; keep only if they represent a real public myth, otherwise make them more plausible.","Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R012,high,revise,question,1,Before Morning,1.5,Pretraining,V02712-PRETRAINING-Q4,possible_correct_answer_length_bias|premature_jargon:retrieval,A base model gives fact-like text about a public topic before any retrieval tool is connected. Which pretraining explanation is strongest?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Either replace future-stage jargon with plain language or add a brief explanation in the stem/feedback.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R009,high,revise,question,1,Before Morning,1.5,Pretraining,V0279-PRETRAINING-Q1,possible_correct_answer_length_bias,"During pretraining, what signal teaches the model broad language patterns across many examples?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R010,high,revise,question,1,Before Morning,1.5,Pretraining,V0279-PRETRAINING-Q2,possible_correct_answer_length_bias,Why can pretraining create broad capability without making the model a perfect library of its sources?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R011,high,revise,question,1,Before Morning,1.5,Pretraining,V0279-PRETRAINING-Q3,possible_correct_answer_length_bias,"If pretraining examples include many styles and task shapes, what can change inside the model?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R006,high,revise,question,1,Before Morning,1.3,Rationalists vs Empiricists,V02712-HISTORY-Q3,possible_correct_answer_length_bias|premature_jargon:retrieval,"A university AI app combines an LLM, hand-written policy checks, and retrieval from a handbook. What should a model-literate user infer?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Either replace future-stage jargon with plain language or add a brief explanation in the stem/feedback.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R005,high,revise,question,1,Before Morning,1.3,Rationalists vs Empiricists,V0279-HISTORY-Q1,possible_correct_answer_length_bias,"If a system solves a task only by following hand-written if-then rules, how is it different from an LLM?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R007,high,revise,question,1,Before Morning,1.4,Training,V0279-TRAINING-Q2,possible_correct_answer_length_bias,A student asks a chatbot one question during ordinary use. Which statement is usually true?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R008,high,revise,question,1,Before Morning,1.4,Training,V0279-TRAINING-Q3,possible_correct_answer_length_bias,"Why can training change how the model behaves tomorrow, while inference usually cannot?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R001,high,revise,question,1,Before Morning,1.1,What Is an LLM?,V0279-WHAT-IS-LLM-Q1,possible_correct_answer_length_bias,"When an LLM answers a prompt by generating one token at a time, what is the model doing at each step?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R002,high,revise,question,1,Before Morning,1.1,What Is an LLM?,V0279-WHAT-IS-LLM-Q2,possible_correct_answer_length_bias,An LLM gives a fluent explanation of a poem. What should a model-literate learner conclude?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R004,high,revise,question,1,Before Morning,1.2,Where LLMs Fit,V02712-WHERE-LLMS-FIT-Q2,possible_correct_answer_length_bias,"A department uses the words AI, machine learning, generative AI, and LLM as if they mean the same thing. Which correction keeps the category map clear?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R003,high,revise,question,1,Before Morning,1.2,Where LLMs Fit,V0279-WHERE-LLMS-FIT-Q1,premature_jargon:diffusion,"A campus tool summarizes text with an LLM, while another creates images by denoising a noisy pattern. What does that show?",Either replace future-stage jargon with plain language or add a brief explanation in the stem/feedback.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R032,high,revise,question,2,Morning Commute,2.5,Embeddings,V02712-EMBEDDINGS-Q2,premature_jargon:hidden state,The same token starts with one embedding but appears in two different sentences. What can make its later internal vector differ?,Either replace future-stage jargon with plain language or add a brief explanation in the stem/feedback.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R022,high,revise,question,2,Morning Commute,2.1,Inference,V02710-INFERENCE-Q1,possible_correct_answer_length_bias|premature_jargon:hidden state,"During ordinary inference, the current context enters the model. What changes temporarily, and what usually stays fixed?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Either replace future-stage jargon with plain language or add a brief explanation in the stem/feedback.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R023,high,revise,question,2,Morning Commute,2.1,Inference,V02710-INFERENCE-Q2,"possible_correct_answer_length_bias|premature_jargon:logits,sampling","In one inference step, which trace best matches the model’s next-token path?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Either replace future-stage jargon with plain language or add a brief explanation in the stem/feedback.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R024,high,revise,question,2,Morning Commute,2.1,Inference,V02710-INFERENCE-Q3,possible_correct_answer_length_bias,A chatbot remembers an earlier line in the same conversation and uses it in the next answer. What is the best model-level explanation?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R025,high,revise,question,2,Morning Commute,2.1,Inference,V02710-INFERENCE-Q4,possible_correct_answer_length_bias,"If ordinary inference normally does not update weights, what follows for future conversations?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R026,high,revise,question,2,Morning Commute,2.2,Prompt vs Response,V02710-PROMPT-RESPONSE-Q1,possible_correct_answer_length_bias,"A user gives a complete prompt, then the model begins writing response tokens. Which boundary matters most?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R027,high,revise,question,2,Morning Commute,2.2,Prompt vs Response,V02710-PROMPT-RESPONSE-Q2,possible_correct_answer_length_bias,"After the model chooses one next response token, what does the next inference step see?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R028,high,revise,question,2,Morning Commute,2.2,Prompt vs Response,V02710-PROMPT-RESPONSE-Q3,possible_correct_answer_length_bias,A generated response improves after the user adds a clarifying sentence. What changed most directly?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R035,high,revise,question,2,Morning Commute,2.7,Tensors,V02712-TENSORS-Q1,possible_correct_answer_length_bias,A model processes many token vectors arranged by token position and feature dimension. What makes that structure a tensor?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R036,high,revise,question,2,Morning Commute,2.7,Tensors,V02712-TENSORS-Q2,possible_correct_answer_length_bias|thin_wrong_feedback,"During training, a weight tensor changes. During inference, an activation tensor appears briefly. Which distinction is most useful?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R030,high,revise,question,2,Morning Commute,2.4,Token IDs,V02710-TOKEN-IDS-Q2,possible_correct_answer_length_bias,A learner says “982 means cat because the ID is the meaning.” What correction is most model- literate?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R031,high,revise,question,2,Morning Commute,2.4,Token IDs,V02710-TOKEN-IDS-Q3,possible_correct_answer_length_bias,"During generation, the model chooses a next response token ID before the user sees text. What happens after that?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R029,high,revise,question,2,Morning Commute,2.3,Tokenization,V02710-TOKENS-Q1,possible_correct_answer_length_bias,"A tokenizer splits “startled.” into pieces like “start”, “led”, and “.” What should that tell a learner?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R033,high,revise,question,2,Morning Commute,2.6,Vectors,V02712-VECTORS-Q2,possible_correct_answer_length_bias|thin_wrong_feedback,"A vector dimension feels tempting to label as ""humor"" or ""truth."" What should the learner remember?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R034,high,revise,question,2,Morning Commute,2.6,Vectors,V02712-VECTORS-Q3,possible_correct_answer_length_bias|premature_jargon:hidden state,An embedding row and a hidden state can both be vectors. Which boundary matters?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Either replace future-stage jargon with plain language or add a brief explanation in the stem/feedback.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R037,high,revise,question,3,Workday,3.1,Attention,V02712-ATTENTION-Q2,possible_correct_answer_length_bias,A learner says attention is permanent memory because it links words. What is the better boundary?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R038,high,revise,question,3,Workday,3.1,Attention,V02712-ATTENTION-Q4,possible_correct_answer_length_bias|thin_wrong_feedback,"After tokens become vectors and tensors, where does attention fit in the workday stage?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R043,high,revise,question,3,Workday,3.4,Hidden States,V02712-HIDDEN-STATES-Q1,possible_correct_answer_length_bias,"The same token ""bank"" appears in two different sentences. Why can its later hidden state differ even if its starting embedding is similar?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R044,high,revise,question,3,Workday,3.4,Hidden States,V02712-HIDDEN-STATES-Q2,generic_stem_needs_mechanism|possible_correct_answer_length_bias|thin_wrong_feedback,"What does ""hidden"" mean in hidden state?",Name the mechanism or scenario in the stem so it stands alone outside the learning card. Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R045,high,revise,question,3,Workday,3.4,Hidden States,V02712-HIDDEN-STATES-Q4,possible_correct_answer_length_bias|premature_jargon:logits,Where do hidden states sit in the prompt's Journey?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Either replace future-stage jargon with plain language or add a brief explanation in the stem/feedback.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R040,high,revise,question,3,Workday,3.3,Layers,V02712-LAYERS-Q2,possible_correct_answer_length_bias,"Layer weights are reused across many prompts, while hidden states appear for one run. Which boundary matters?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R041,high,revise,question,3,Workday,3.3,Layers,V02712-LAYERS-Q3,possible_correct_answer_length_bias,A learner imagines each layer as a human-like thought step. What should replace that picture?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R042,high,revise,question,3,Workday,3.3,Layers,V02712-LAYERS-Q4,possible_correct_answer_length_bias,Why do residual paths and normalization matter in a simplified layer map?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R039,high,revise,question,3,Workday,3.2,MLP,V02712-MLP-Q2,possible_correct_answer_length_bias|thin_wrong_feedback,"The MLP has learned weights, but the feature values it produces during one answer are temporary. What does that mean?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R050,high,revise,question,4,Decision Room,4.3,Sampling,V02712-SAMPLING-Q3,possible_correct_answer_length_bias,Why can sampling make two runs with the same prompt produce different wording?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R054,high,revise,question,5,The Day Repeats,5.2,Context Window,V02712-CONTEXT-WINDOW-Q2,possible_correct_answer_length_bias,Why is context not the same as memory?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R056,high,revise,question,5,The Day Repeats,5.2,Context Window,V02712-CONTEXT-WINDOW-Q4,possible_correct_answer_length_bias|thin_wrong_feedback,Why does the response-so-far matter for the context window?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R061,high,revise,question,5,The Day Repeats,5.4,Grounding,V02712-GROUNDING-Q1,possible_correct_answer_length_bias,"A retrieved passage says one thing, but the answer claims another. Why can grounding still fail?",Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R062,high,revise,question,5,The Day Repeats,5.4,Grounding,V02712-GROUNDING-Q2,generic_stem_needs_mechanism|possible_correct_answer_length_bias|thin_wrong_feedback,What does grounding try to connect?,Name the mechanism or scenario in the stem so it stands alone outside the learning card. Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R064,high,revise,question,5,The Day Repeats,5.4,Grounding,V02712-GROUNDING-Q4,possible_correct_answer_length_bias,How does grounding connect to RAG in a well-designed system?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R068,high,revise,question,5,The Day Repeats,5.5,Hallucinations,V02712-HALLUCINATIONS-Q4,possible_correct_answer_length_bias|thin_wrong_feedback,Which practice can reduce hallucination risk without pretending it disappears?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R059,high,revise,question,5,The Day Repeats,5.3,RAG and Retrieval,V02712-RAG-RETRIEVAL-Q3,possible_correct_answer_length_bias,Why is RAG not training?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
R060,high,revise,question,5,The Day Repeats,5.3,RAG and Retrieval,V02712-RAG-RETRIEVAL-Q4,possible_correct_answer_length_bias|thin_wrong_feedback,How can RAG reduce hallucinations without eliminating them?,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Expand short wrong-answer feedback so it explains the misconception boundary.,"Codex should revise this question only if the issue is confirmed in source data; preserve stable IDs unless meaning changes, and create new IDs when replacing text meaningfully."
