repairId,learningCardTitle,questionId,trigger,status,oldStem,oldCorrect,newStem,newCorrect,reason
V02715-001,Where LLMs Fit,v0279-where-llms-fit-q1,denoising,retained,"A campus tool summarizes text with an LLM, while another creates images by denoising noisy patterns. What does that show?",Generative AI is a family; LLMs and denoising image models are different branches.,"A campus tool summarizes text with an LLM, while another creates images by denoising noisy patterns. What does that show?",Generative AI is a family; LLMs and denoising image models are different branches.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-002,Rationalists vs Empiricists,v0279-history-q2,loss,retained,"During deep-learning training, why does the system measure loss?",Loss measures prediction error so an optimizer can adjust weights.,"During deep-learning training, why does the system measure loss?",Loss measures prediction error so an optimizer can adjust weights.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-003,Training,v0279-training-q1,training,retained,"During training, the model predicts a target token and gets it wrong. What makes that moment learning rather than ordinary inference?",The training process uses the loss signal to update weights.,"During training, the model predicts a target token and gets it wrong. What makes that moment learning rather than ordinary inference?",The training process uses the loss signal to update weights.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-004,Training,v0279-training-q3,training; inference,retained,"Why can training change how the model behaves tomorrow, while inference usually cannot?",Training changes reusable weights; inference uses temporary computation.,"Why can training change how the model behaves tomorrow, while inference usually cannot?",Training changes reusable weights; inference uses temporary computation.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-005,Fine-Tuning,v02712-fine-tuning-q1,fine tuning; fine tune; fine tuned,changed,A team wants a support assistant to follow corporate norms across future conversations. Which move is closest to fine-tuning?,Fine-tune weights or adapters for future responses.,A team wants a support assistant to follow corporate norms across future conversations. Which intervention would create a durable model-side change?,Run additional training or adapter training on relevant examples so future responses carry the pattern.,Correct answer or stem was revised to reduce term echo.
V02715-006,Alignment,v02710-alignment-q2,alignment,retained,"A product uses instruction fine-tuning, a system prompt, and a policy filter around one LLM. Which alignment map is most useful?",Some alignment changes are durable training; others steer or filter the current run.,"A product uses instruction fine-tuning, a system prompt, and a policy filter around one LLM. Which alignment map is most useful?",Some alignment changes are durable training; others steer or filter the current run.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-007,Prompt vs Response,v02710-prompt-response-q1,prompt; response tokens,retained,"A user gives a complete prompt, then the model begins writing response tokens. Which boundary matters most?",Prompt tokens are given; response tokens are generated and appended to context.,"A user gives a complete prompt, then the model begins writing response tokens. Which boundary matters most?",Prompt tokens are given; response tokens are generated and appended to context.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-008,Prompt vs Response,v02710-prompt-response-q3,response,retained,A generated response improves after the user adds a clarifying sentence. What changed most directly?,Better current context helped the next response tokens come from better input.,A generated response improves after the user adds a clarifying sentence. What changed most directly?,Better current context helped the next response tokens come from better input.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-009,Tokenization,v02710-tokens-q2,text; tokens; embeddings,retained,"Before transformer layers process text, which tokens-to-IDs-to-embeddings path comes first?","Text is split into tokens, tokens map to token IDs, and IDs look up embeddings.","Before transformer layers process text, which tokens-to-IDs-to-embeddings path comes first?","Text is split into tokens, tokens map to token IDs, and IDs look up embeddings.","Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-010,Token IDs,v02710-token-ids-q2,meaning,retained,A learner says “982 means cat because the ID is the meaning.” What correction is most model-literate?,"982 is a lookup number; meaning comes from embeddings, layers, and context.",A learner says “982 means cat because the ID is the meaning.” What correction is most model-literate?,"982 is a lookup number; meaning comes from embeddings, layers, and context.","Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-011,Embeddings,v02712-embeddings-q1,vector,retained,"The token ID for ""dog"" looks up a vector before the sentence context is processed. What is that vector?",A learned starting vector from the embedding table.,"The token ID for ""dog"" looks up a vector before the sentence context is processed. What is that vector?",A learned starting vector from the embedding table.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-012,Embeddings,v02712-embeddings-q2,vector,retained,The same token starts with one embedding but appears in two different sentences. What can make its later internal vector differ during inference?,Context and layers reshape the starting vector into a temporary internal state.,The same token starts with one embedding but appears in two different sentences. What can make its later internal vector differ during inference?,Context and layers reshape the starting vector into a temporary internal state.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-013,Tensors,v02712-tensors-q1,tensor,retained,A model processes many token vectors arranged by token position and feature dimension. What makes that structure a tensor?,A tensor is a shaped block of numbers for model operations.,A model processes many token vectors arranged by token position and feature dimension. What makes that structure a tensor?,A tensor is a shaped block of numbers for model operations.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-014,Tensors,v02712-tensors-q2,weight; activation,retained,"During training, a weight tensor changes. During inference, an activation tensor appears briefly. Which distinction is most useful?",Weight tensors can persist; activation tensors are temporary.,"During training, a weight tensor changes. During inference, an activation tensor appears briefly. Which distinction is most useful?",Weight tensors can persist; activation tensors are temporary.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-015,Attention,v02712-attention-q2,attention,retained,A learner says attention is permanent memory because it links words. What is the better boundary?,Learned attention weights persist; one prompt pattern is temporary.,A learner says attention is permanent memory because it links words. What is the better boundary?,Learned attention weights persist; one prompt pattern is temporary.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-016,Attention,v02712-attention-q3,attention,retained,Attention and the MLP both appear inside transformer layers. Which contrast is most accurate?,Attention mixes information across positions; the MLP reshapes features within each position.,Attention and the MLP both appear inside transformer layers. Which contrast is most accurate?,Attention mixes information across positions; the MLP reshapes features within each position.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
V02715-017,Layers,v02712-layers-q2,layer,retained,"Layer weights are reused across many prompts, while hidden states appear for one run. Which boundary matters?",Durable layer parameters differ from temporary layer activations.,"Layer weights are reused across many prompts, while hidden states appear for one run. Which boundary matters?",Durable layer parameters differ from temporary layer activations.,"Retained because the term is necessary for a fair mechanism or boundary distinction, or distractors use the same nearby vocabulary."
