learningCardNumber,stageTitle,learningCardId,learningCardTitle,interactionType,interactionTitle,exerciseType,expectedLearnerAction,answerModel,feedbackBehavior,completionCondition,priority,recommendation
1,Before Morning,what-is-llm,What Is an LLM?,prompt-trace,Tap through one prompt,tap-step,"Tap through context, probability, chosen token, and updated context.",ordered mechanism sequence,Step-specific insight text after each tap.,Final step reveals updated context.,P2,Keep for human testing; watch for clarity and replay value.
2,Before Morning,where-llms-fit,Where LLMs Fit,ai-topology,Tap a branch,tap-reveal,Tap category branches in the AI family tree.,stateful reveal,Branch-specific one-sentence explanation.,At least one branch explanation is revealed.,P3,Keep for human testing.
3,Before Morning,history,Rationalists vs Empiricists,traditions-sort,Sort rules and patterns,sort-buckets,"Classify rules, learned patterns, and hybrid ingredients.",stable category mapping,Correctness highlighting plus summary insight.,All visible chips are assigned to buckets.,P3,Keep for human testing.
4,Before Morning,training,Training,training-steps,Tap through the training loop,tap-step,Tap each step in the training loop.,ordered mechanism sequence,Durable-update explanation.,Update weights step is selected or sequence is completed.,P3,Keep for human testing.
5,Before Morning,pretraining,Pretraining,pretraining-toggle,Pattern learning or recall?,toggle-choice,Toggle between broad pattern learning and perfect recall.,one best state with boundary feedback,Boundary feedback against perfect-memory myth.,Broad pattern learning state is selected.,P3,Keep for human testing.
6,Before Morning,overfitting-generalization,Overfitting and Generalization,overfitting-curve,Choose the better curve,tap-choice,Choose the curve that generalizes better.,stateful reveal,Validation-example feedback.,Generalizing curve is selected.,P3,Keep for human testing.
7,Before Morning,fine-tuning,Fine-Tuning,fine-tuning-sort,Sort the steering moves,sort-buckets,"Sort durable training, temporary context, and decoding moves.",stable category mapping,Bucket-specific correction.,Each steering move is assigned.,P3,Keep for human testing.
8,Before Morning,alignment,Alignment,alignment-groups,Group the alignment methods,sort-buckets,"Group alignment methods by durable shaping, runtime steering, and evaluation.",stateful reveal,Method-group summary.,Each method is assigned.,P3,Keep for human testing.
9,Morning Commute,inference,Inference,inference,Walk the forward pass,tap-step,Walk the forward pass from context to next token.,stateful reveal,Temporary-versus-durable feedback.,Forward-pass path is completed.,P3,Keep for human testing.
10,Morning Commute,prompt-response,Prompt vs Response,prompt-response-labels,Label the context pieces,label-pieces,"Tap rows that separate prompt, response so far, next token, and updated context.",stateful reveal,Row-specific explanation.,All four rows can be inspected.,P3,Keep for human testing.
11,Morning Commute,tokens,Tokenization,tokenization-split,Split the sentence,tap-reveal,Reveal token cards and uneven chunks.,stateful reveal,Token boundary feedback.,Uneven examples are shown.,P3,Keep for human testing.
12,Morning Commute,token-ids,Token IDs,token-id-lookup,Match token to ID,match-lookup,Match token text to token IDs and table rows.,stateful reveal,ID-is-not-meaning feedback.,Lookup relationship is revealed.,P3,Keep for human testing.
13,Morning Commute,embeddings,Embeddings,embedding-lookup,Look up a starting vector,tap-lookup,Tap a token ID to retrieve its embedding row.,stateful reveal,Durable embedding versus temporary hidden-state feedback.,Embedding row is shown.,P3,Keep for human testing.
14,Morning Commute,vectors,Vectors,vector-distribution,Toggle vector views,toggle-view,Switch between teaching sliders and distributed feature bars.,stateful reveal,Dimension-label limit feedback.,Distributed view is shown.,P2,Keep for human testing; watch for clarity and replay value.
15,Morning Commute,tensors,Tensors,tensor-axis,Inspect the axes,tap-axis,"Inspect token axis, feature axis, and batch sheet.",stateful reveal,Axis-specific explanation.,All axis notes can be viewed.,P2,Keep for human testing; watch for clarity and replay value.
16,Workday,attention,Attention,attention-relevance-connect,Connect the pronoun,connect-nodes,Connect pronoun token to the most relevant source token.,target-to-source relationship,Relevance-not-awareness feedback.,A source token is selected.,P3,Keep for human testing.
17,Workday,mlp,MLP,mlp-feature-toggle,Before and after MLP,toggle-view,Toggle same token before and after MLP.,one best state with boundary feedback,Feature reshaping feedback.,After-MLP state is shown.,P3,Keep for human testing.
18,Workday,layers,Layers,layers-stack-inspect,Inspect the stack,tap-step,Tap layers in a transformer stack.,stateful reveal,Repeated numerical transformation feedback.,A layer detail is shown.,P3,Keep for human testing.
19,Workday,hidden-states,Hidden States,hidden-state-sort,Durable or temporary?,sort-buckets,"Sort durable, temporary, and outside-forward-pass items.",stable category mapping,Temporary hidden-state feedback.,Each item is assigned.,P3,Keep for human testing.
20,Decision Room,logits,Logits,logits-raw-toggle,Raw scores or probabilities?,toggle-view,Toggle raw scores and probability-ready framing.,one best state with boundary feedback,Logits-are-not-probabilities feedback.,Raw-score state is visible.,P3,Keep for human testing.
21,Decision Room,softmax,Softmax,softmax-convert,Convert the scores,tap-transform,Convert raw scores into probabilities.,stateful reveal,Probability-not-truth feedback.,Softmax conversion is shown.,P3,Keep for human testing.
22,Decision Room,sampling,Sampling,sampling-probability-pick,Choose from the probability cloud,tap-choice,Choose a next token from probability-shaped candidates.,one best applied choice,Sampling uncertainty feedback.,A candidate token is selected.,P3,Keep for human testing.
23,The Day Repeats,autoregression,Autoregression,autoregression-loop,Tap-step append loop,tap-step,"Step through choose, append, run again.",ordered mechanism sequence,Append-and-repeat feedback.,Loop reaches the repeated run state.,P3,Keep for human testing.
24,The Day Repeats,context-window,Context Window,context-window-tray,Push the context cards,tap-stack,Push cards into a bounded context tray.,stateful reveal,Temporary-window feedback.,A card falls out after the window fills.,P3,Keep for human testing.
25,The Day Repeats,rag-retrieval,RAG and Retrieval,rag-lane-highlight,Trace the retrieval lanes,tap-step,"Trace prompt, retriever, retrieved notes, context tray, and response.",stateful reveal,Retrieval-plus-context feedback.,All retrieval lanes can be highlighted.,P3,Keep for human testing.
26,The Day Repeats,grounding,Grounding,grounding-claim-match,Match claims to evidence,connect-nodes,Connect claims to supporting evidence.,target-to-source relationship,Evidence-match feedback.,Supported and unsupported claims are visible.,P3,Keep for human testing.
27,The Day Repeats,hallucinations,Hallucinations,hallucination-support-check,Mark missing supports,tap-multiple,Mark fluent claims that need evidence.,multi-select applied judgment,Unsupported-output feedback.,Unsupported claims are marked.,P3,Keep for human testing.
28,Twilight: The Wider Landscape,how-ai-learns,How AI Learns,learning-modes-sort,Sort the learning modes,sort-buckets,"Sort durable update, temporary steering, retrieval, and evaluation modes.",stable category mapping,What-changed feedback.,Each mode is assigned.,P3,Keep for human testing.
29,Twilight: The Wider Landscape,diffusion,Diffusion vs Autoregression,diffusion-contrast,Step through two loops,tap-compare,Step through token append path and denoise path.,stateful reveal,Autoregression-versus-diffusion feedback.,Both paths can be compared.,P3,Keep for human testing.
30,Twilight: The Wider Landscape,multimodal,Multimodal AI,multimodal-map,Match media lanes,match-lanes,Match media inputs and outputs.,stateful reveal,Representation-not-human-senses feedback.,A media lane pair is selected.,P3,Keep for human testing.
31,Twilight: The Wider Landscape,perfect-storm,The Perfect Storm,perfect-storm-ingredients,Tap storm ingredients,tap-reveal,Tap converging ingredient streams.,stateful reveal,Convergence-not-spark feedback.,Ingredient explanation is revealed.,P3,Keep for human testing.
32,Midnight Ledger,collective-intelligence,"Collective Intelligence, Extracted",collective-human-questions,Which questions stay human?,sort-buckets,Sort human-rights questions away from model mechanics.,stateful reveal,Accountability feedback.,Questions are classified.,P2,Keep for human testing; watch for clarity and replay value.
33,Midnight Ledger,costs-we-must-count,Costs We Must Count,cost-ledger,Tap the cost ledger,tap-reveal,Tap cost ledger entries.,stateful reveal,Countable-cost feedback.,Cost category explanation is revealed.,P3,Keep for human testing.
34,Midnight Ledger,risk-myth,Risk vs Myth,risk-myth-sort,Sort risk from myth,sort-buckets,Sort practical risks from myths.,stable category mapping,Mechanism-risk feedback.,Claims are assigned.,P3,Keep for human testing.
35,New Dawn,benefits-worth-taking-seriously,Benefits Worth Taking Seriously,benefit-tier-sort,Sort benefit strength,sort-buckets,Sort benefit claims by evidence strength.,stable category mapping,Bounded-benefit feedback.,Claims are assigned.,P2,Keep for human testing; watch for clarity and replay value.
36,New Dawn,human-centered-ai,Human-Centered AI,human-centered-scenario,Center the human purpose,tap-choice,Choose the more human-centered deployment.,stateful reveal,Review-and-accountability feedback.,Accountable deployment is selected.,P3,Keep for human testing.
37,New Dawn,better-ai-choice,Better AI Is a Choice,better-ai-levers,Choose the better path,tap-multiple,Choose design and governance levers.,multi-select applied judgment,Design-choice feedback.,Useful levers are selected.,P3,Keep for human testing.
38,New Dawn,effective-prompting-literacy,Effective Prompting from Model Literacy,prompt-builder,Pack the context tray,tap-multiple,Pack a context tray with prompt ingredients.,multi-select applied judgment,Context-design feedback.,Prompt tray is completed.,P3,Keep for human testing.
39,New Dawn,model-literate-synthesis,Model Literate Synthesis,synthesis-chain,Light the map,order-sequence,Put the model-literacy chain in order.,stateful reveal,Mechanics-to-accountability feedback.,All chain steps are ordered.,P2,Keep for human testing; watch for clarity and replay value.
