stage_number,stage_title,learning_card_code,card_index,card_title,card_objective,question_number,question_id,question_type,stem,correct_choice_id,correct_choice_text,correct_feedback,choice_1_id,choice_1_text,choice_1_is_correct,choice_1_feedback,choice_2_id,choice_2_text,choice_2_is_correct,choice_2_feedback,choice_3_id,choice_3_text,choice_3_is_correct,choice_3_feedback,choice_4_id,choice_4_text,choice_4_is_correct,choice_4_feedback,flags,suggested_action,priority,review_notes
1,Before Morning,1.1,1,What Is an LLM?,"Explain that an LLM uses learned weights plus current context to score and generate next tokens without implying awareness, search, or permanent learning.",1,V0279-WHAT-IS-LLM-Q1,mechanism,"When an LLM answers a prompt by generating one token at a time, what is the model doing at each step?",v0279-what-is-llm-q1-correct,"It scores possible next tokens from the current context, selects one, appends it, and repeats.",Good distinction. The model is using fixed learned weights and temporary context to make the next-token step.,v0279-what-is-llm-q1-correct,"It scores possible next tokens from the current context, selects one, appends it, and repeats.",True,Good distinction. The model is using fixed learned weights and temporary context to make the next-token step.,v0279-what-is-llm-q1-conscious-reader,"It reads with conscious understanding, then writes the whole answer at once.",False,Not quite. That gives the model too much mind. Fluent behavior can happen without awareness.,v0279-what-is-llm-q1-hidden-search,It searches a hidden database and copies the best matching passage.,False,"This choice reveals a common mix-up. Search can be added around a model, but a plain LLM generates from context and learned weights.",v0279-what-is-llm-q1-weight-change,It changes its weights each time the user sends a new prompt.,False,That would be true only if a separate training process updated weights. Ordinary inference usually leaves weights fixed.,possible_correct_answer_length_bias,revise,high,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.
1,Before Morning,1.1,1,What Is an LLM?,"Explain that an LLM uses learned weights plus current context to score and generate next tokens without implying awareness, search, or permanent learning.",2,V0279-WHAT-IS-LLM-Q2,human-use-judgment,An LLM gives a fluent explanation of a poem. What should a model-literate learner conclude?,v0279-what-is-llm-q2-correct,It generated response tokens from context and learned patterns; fluency does not prove awareness.,Insight strengthened. This is the fluent-behavior-without-awareness boundary Prompt Life wants learners to hold.,v0279-what-is-llm-q2-correct,It generated response tokens from context and learned patterns; fluency does not prove awareness.,True,Insight strengthened. This is the fluent-behavior-without-awareness boundary Prompt Life wants learners to hold.,v0279-what-is-llm-q2-inner-awareness,It must have inner awareness because the explanation sounds human.,False,Not quite. That gives the model too much mind. Fluent behavior can happen without awareness.,v0279-what-is-llm-q2-hidden-source,It must have found a hidden perfect source and copied the interpretation.,False,"Close, but this describes search or retrieval better than a plain LLM response. A fluent answer is not the same as cited evidence.",v0279-what-is-llm-q2-prompt-learning,The poem prompt permanently taught the base model a new skill.,False,That would require training. A normal prompt can shape temporary context without durably updating weights.,possible_correct_answer_length_bias,revise,high,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.
1,Before Morning,1.2,2,Where LLMs Fit,"Use the AI family map to distinguish AI, ML, deep learning, generative AI, LLMs, diffusion models, multimodal systems, and AI products.",1,V0279-WHERE-LLMS-FIT-Q1,application,"A campus tool summarizes text with an LLM, while another creates images by denoising a noisy pattern. What does that show?",v0279-where-llms-fit-q1-correct,Generative AI is a family; LLMs and diffusion models are different branches.,"Good distinction. Generative AI is a family, and different branches can use different mechanisms.",v0279-where-llms-fit-q1-correct,Generative AI is a family; LLMs and diffusion models are different branches.,True,"Good distinction. Generative AI is a family, and different branches can use different mechanisms.",v0279-where-llms-fit-q1-all-llms,All generative AI tools are LLMs because ChatGPT is generative AI.,False,"Not quite. An LLM is one kind of generative AI, not the whole category.",v0279-where-llms-fit-q1-text-only-ai,The image tool is not AI unless it generates language tokens.,False,"Close, but image models can be AI without using the LLM text-token loop.",v0279-where-llms-fit-q1-ai-ml-same,"AI and machine learning are the same label, so the branches do not matter.",False,This choice collapses useful categories. Machine learning is a major branch inside the broader AI field.,premature_jargon:diffusion,revise,high,Either replace future-stage jargon with plain language or add a brief explanation in the stem/feedback.
1,Before Morning,1.2,2,Where LLMs Fit,"Use the AI family map to distinguish AI, ML, deep learning, generative AI, LLMs, diffusion models, multimodal systems, and AI products.",2,V02712-WHERE-LLMS-FIT-Q2,boundary,"A department uses the words AI, machine learning, generative AI, and LLM as if they mean the same thing. Which correction keeps the category map clear?",v02712-where-llms-fit-q2-correct,AI is broad; machine learning learns from data; generative AI creates outputs; LLMs focus on language or code.,Insight strengthened. The map matters because an LLM is one branch inside a wider AI landscape.,v02712-where-llms-fit-q2-correct,AI is broad; machine learning learns from data; generative AI creates outputs; LLMs focus on language or code.,True,Insight strengthened. The map matters because an LLM is one branch inside a wider AI landscape.,v02712-where-llms-fit-q2-2-llm,All AI systems are LLMs if they use language.,False,That collapses the broad AI family into one model type.,v02712-where-llms-fit-q2-3-machine-learning,Machine learning and AI are exact synonyms.,False,That misses that machine learning is a major branch inside broader AI.,v02712-where-llms-fit-q2-4-diffusion-model,Diffusion models and LLMs use the same generation loop.,False,That treats different generative methods as if they shared one mechanism.,possible_correct_answer_length_bias,revise,high,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.
1,Before Morning,1.2,2,Where LLMs Fit,"Use the AI family map to distinguish AI, ML, deep learning, generative AI, LLMs, diffusion models, multimodal systems, and AI products.",3,V0279-WHERE-LLMS-FIT-Q3,boundary,"A chatbot product includes an LLM, a search tool, safety filters, and a user interface. What is the LLM?",v0279-where-llms-fit-q3-correct,The language-generating model inside the larger product.,"Good distinction. A product may wrap an LLM with tools, policies, and interface pieces.",v0279-where-llms-fit-q3-correct,The language-generating model inside the larger product.,True,"Good distinction. A product may wrap an LLM with tools, policies, and interface pieces.",v0279-where-llms-fit-q3-whole-app,"The whole app, including every tool and button.",False,"Not quite. The product can include an LLM, but the LLM is not every surrounding tool and screen.",v0279-where-llms-fit-q3-safety-policy,The safety policy that blocks some outputs.,False,"Close, but a safety policy shapes behavior around the model; it is not the language model itself.",v0279-where-llms-fit-q3-search-index,The database or search index the app may call.,False,This describes a retrieval or search component. The LLM generates language from context and learned weights.,,keep,low,
1,Before Morning,1.3,3,Rationalists vs Empiricists,"Compare rules-first AI and learned-pattern AI while recognizing that modern systems can combine rules, retrieval, policies, tools, and learned models.",1,V0279-HISTORY-Q1,boundary,"If a system solves a task only by following hand-written if-then rules, how is it different from an LLM?",v0279-history-q1-correct,The rule-based system applies explicit rules; an LLM’s fluency mostly comes from learned weights shaped by examples.,"Good distinction. LLMs mostly belong to the learned-patterns tradition, even when products around them use rules.",v0279-history-q1-correct,The rule-based system applies explicit rules; an LLM’s fluency mostly comes from learned weights shaped by examples.,True,"Good distinction. LLMs mostly belong to the learned-patterns tradition, even when products around them use rules.",v0279-history-q1-loss-every-task,The rule-based system measures loss and updates weights after every task.,False,"Not quite. Loss and weight updates belong to training learned models, not to a pure if-then rule system.",v0279-history-q1-conscious-llm,"The LLM has conscious reasoning, while the rule-based system has none.",False,That gives the LLM too much mind. The key boundary here is learned weights versus explicit rules.,v0279-history-q1-all-rules,There is no difference; both systems are just written rulebooks.,False,"Close, but LLM behavior is not mainly written as explicit if-then rules; it is shaped by training.",possible_correct_answer_length_bias,revise,high,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.
1,Before Morning,1.3,3,Rationalists vs Empiricists,"Compare rules-first AI and learned-pattern AI while recognizing that modern systems can combine rules, retrieval, policies, tools, and learned models.",2,V0279-HISTORY-Q2,mechanism,"During deep-learning training, why does the system measure loss?",v0279-history-q2-correct,Loss measures prediction error so an optimizer can adjust weights.,"Insight strengthened. Loss is the numerical training signal, not a feeling or truth meter.",v0279-history-q2-correct,Loss measures prediction error so an optimizer can adjust weights.,True,"Insight strengthened. Loss is the numerical training signal, not a feeling or truth meter.",v0279-history-q2-moral-good,Loss tells the model whether a generated answer is morally good.,False,Not quite. Loss is a numerical error signal; alignment and policy questions need additional methods.,v0279-history-q2-confidence-score,Loss is the model’s confidence score for the next token during generation.,False,"Close, but confidence or probability shapes generation. Loss measures training error so weights can be adjusted.",v0279-history-q2-final-answer,Loss writes the final answer after the model has finished thinking.,False,Not quite. Loss is used during training; it is not the model writing a response.,,keep,low,
1,Before Morning,1.3,3,Rationalists vs Empiricists,"Compare rules-first AI and learned-pattern AI while recognizing that modern systems can combine rules, retrieval, policies, tools, and learned models.",3,V02712-HISTORY-Q3,boundary,"A university AI app combines an LLM, hand-written policy checks, and retrieval from a handbook. What should a model-literate user infer?",v02712-history-q3-correct,"The product combines learned patterns, rules, and tools; the LLM inside is still a learned-pattern model.",Good distinction. Modern AI products can mix traditions without making the model itself rule-based.,v02712-history-q3-correct,"The product combines learned patterns, rules, and tools; the LLM inside is still a learned-pattern model.",True,Good distinction. Modern AI products can mix traditions without making the model itself rule-based.,v02712-history-q3-2-symbolic-ai,The hand-written checks turn the LLM into symbolic AI.,False,That confuses a product wrapper with the model inside it.,v02712-history-q3-3-rag,The retrieved handbook permanently rewrites the model weights.,False,Retrieval can add context without becoming durable training.,v02712-history-q3-4-alignment,The policy checks prove the model has moral understanding.,False,Policy behavior is not the same as conscience or awareness.,possible_correct_answer_length_bias|premature_jargon:retrieval,revise,high,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete. Either replace future-stage jargon with plain language or add a brief explanation in the stem/feedback.
1,Before Morning,1.4,4,Training,"Trace training as example, prediction, loss, optimizer, weight update, repeat; separate durable training from inference, retrieval, sampling, and prompt changes.",1,V0279-TRAINING-Q1,mechanism,"During training, the model predicts a target token and gets it wrong. What makes that moment learning rather than ordinary inference?",v0279-training-q1-correct,The training process uses the loss signal to update weights.,Good distinction. The durable weight update is what makes this training.,v0279-training-q1-correct,The training process uses the loss signal to update weights.,True,Good distinction. The durable weight update is what makes this training.,v0279-training-q1-append-response,The model appends the mistaken token to a normal live response.,False,Not quite. Appending a response token is inference behavior; training uses loss to change weights.,v0279-training-q1-durable-memory,The prompt becomes durable memory stored inside the model’s weights.,False,This choice reveals a common mix-up. Context can shape the current chat without becoming a weight update.,v0279-training-q1-likelihood-truth,The model treats the most likely answer as automatically true.,False,"Not quite. Likelihood is not truth, and this training moment matters because loss can drive a weight update.",,keep,low,
1,Before Morning,1.4,4,Training,"Trace training as example, prediction, loss, optimizer, weight update, repeat; separate durable training from inference, retrieval, sampling, and prompt changes.",2,V0279-TRAINING-Q2,boundary,A student asks a chatbot one question during ordinary use. Which statement is usually true?,v0279-training-q2-correct,The model uses fixed weights and temporary context; the chat usually does not rewrite the weights.,"Insight strengthened. Normal chat inference can use context, but it usually does not rewrite weights.",v0279-training-q2-correct,The model uses fixed weights and temporary context; the chat usually does not rewrite the weights.,True,"Insight strengthened. Normal chat inference can use context, but it usually does not rewrite weights.",v0279-training-q2-permanent-update,The chat permanently updates the base model’s weights.,False,"Not quite. That would require a training process, not ordinary inference.",v0279-training-q2-durable-memory,The model stores the prompt as durable memory inside its weights.,False,This choice reveals a common mix-up. Context can shape the current chat without becoming a weight update.,v0279-training-q2-optimizer-after-response,The optimizer trains the model after every response.,False,"Close, but optimizers update weights during training, not after every normal response.",possible_correct_answer_length_bias,revise,high,Shorten the correct answer or lengthen/tighten distractors so the correct choice is not obviously more complete.
