stage,cardId,cardTitle,currentVisualTitle,currentVisualType,currentProblem,newRecommendedCategory,reason,image2Allowed,codedVisualRequired,removeVisual,priority,exactNextAction
Before Morning,what-is-llm,What Is an LLM?,Prompt to Prediction,generated-image,"Opening visual is useful, but it should be treated as a polished conceptual image, not a mechanics diagram.",Image 2 Concept Card,This card needs to reduce mystery and set tone; exact next-token mechanics are better handled by HTML callouts.,true,false,false,P1 before human testing,"Keep or regenerate as a textless Image 2 concept card showing prompt input, learned model cloud, and one token emerging."
Before Morning,where-llms-fit,Where LLMs Fit,AI Family Tree,coded-svg,The family-tree relationship is exact enough that a generated image could blur category boundaries.,Coded Mechanism Mini-Diagram,"Learners must see nested/related categories clearly: AI, machine learning, deep learning, generative AI, LLMs, diffusion, and multimodal.",false,true,false,P2 keep through testing,Keep as a coded minimal branch/taxonomy visual with short labels and tap-to-reveal explanations.
Before Morning,history,Rationalists vs Empiricists,Rules and Learned Patterns,coded-svg,"The concept is a boundary between rules-first AI, learned patterns, and hybrids.",HTML Comparison Board,A simple board teaches the distinction better than a decorative image or flowchart.,false,false,false,P2 keep through testing,"Keep as an HTML comparison board; keep loss explanation in callouts/glossary, not inside the board."
Before Morning,training,Training,Training Loop,coded-svg,Training depends on exact step order and the durable weight-update distinction.,Coded Mechanism Mini-Diagram,"Prediction, loss, optimizer, and weight update must remain mechanically controlled.",false,true,false,P2 keep through testing,Keep a coded 4-5 step loop with one highlighted durable weight-update step.
Before Morning,pretraining,Pretraining,Broad Pretraining,generated-image,Scale and broad pattern learning are conceptual; exact mechanics belong in callouts.,Image 2 Concept Card,A polished static image can show many examples shaping a model without implying perfect memory.,true,false,false,P1 before human testing,Use a textless Image 2 concept card showing many blank paper streams shaping a model horizon.
Before Morning,overfitting-generalization,Overfitting and Generalization,Overfitting vs Generalization,coded-svg,The current plot is readable but still risks feeling like a math chart before learners need one.,HTML Comparison Board,The key boundary is training-fit versus validation transfer; a board with one small curve example is enough.,false,false,false,P2 keep through testing,Keep or convert to an HTML comparison board: memorizes old examples versus transfers to set-aside examples.
Before Morning,fine-tuning,Fine-Tuning,Durable vs Temporary Steering,coded-html,"This card is a durable-versus-temporary boundary, not an atmospheric concept.",HTML Comparison Board,"Fine-tuning must be separated from prompting, retrieval, and sampling with high precision.",false,false,false,P1 before human testing,Lock as an HTML comparison board with durable update on one side and current-run steering on the other.
Before Morning,alignment,Alignment,Alignment Landscape,generated-image,Behavior shaping is conceptual and social; a coded mechanism can imply false precision.,Image 2 Concept Card,Image 2 can carry the calm behavior-shaping metaphor while HTML callouts state the conscience boundary.,true,false,false,P1 before human testing,Use a textless Image 2 concept card; keep alignment-versus-conscience language in HTML callouts.
Morning Commute,inference,Inference,Forward Pass,coded-html,Inference requires the fixed-weights versus temporary-activation distinction.,Coded Mechanism Mini-Diagram,"Exact flow matters: context enters, fixed weights are used, temporary values form, scores emerge, next token is selected.",false,true,false,P2 keep through testing,Keep as a coded vertical mechanism strip with no paragraph text in the diagram.
Morning Commute,prompt-response,Prompt vs Response,Prompt vs Response,coded-html,Prompt/response must show generated tokens being appended to context.,Coded Mechanism Mini-Diagram,This is one of the core mental models; static art would blur given input versus generated output.,false,true,false,P1 before human testing,"Keep the crisp stacked coded layout: prompt, response so far, next token, updated context."
